id,x,y,path_coverage,zone
0,-35.262375221064474,-8.255601073138989,0.0342089187538179,245
1,-35.262375221064474,-8.252007828439025,0.0342089187538179,245
2,-35.262375221064474,-8.248414583739061,0.0342089187538179,245
3,-35.262375221064474,-8.244821339039097,0.0342089187538179,245
4,-35.262375221064474,-8.241228094339133,0.0342089187538179,245
5,-35.262375221064474,-8.23763484963917,0.0342089187538179,245
6,-35.25878197636451,-8.262787562538916,0.0342089187538179,245
7,-35.25878197636451,-8.259194317838952,0.0342089187538179,245
8,-35.25878197636451,-8.255601073138989,0.0342089187538179,245
9,-35.25878197636451,-8.252007828439025,0.0342089187538179,245
10,-35.25878197636451,-8.248414583739061,0.0342089187538179,245
11,-35.25878197636451,-8.244821339039097,0.0342089187538179,245
12,-35.25878197636451,-8.241228094339133,0.0342089187538179,245
13,-35.25878197636451,-8.23763484963917,0.0342089187538179,245
14,-35.25878197636451,-8.234041604939206,0.0342089187538179,245
15,-35.25878197636451,-8.230448360239242,0.0342089187538179,245
16,-35.25878197636451,-8.226855115539278,0.0342089187538179,245
17,-35.255188731664546,-8.262787562538916,0.0342089187538179,245
18,-35.255188731664546,-8.259194317838952,0.0342089187538179,245
19,-35.255188731664546,-8.255601073138989,0.0342089187538179,245
20,-35.255188731664546,-8.252007828439025,0.0342089187538179,245
21,-35.255188731664546,-8.248414583739061,0.0342089187538179,245
22,-35.255188731664546,-8.244821339039097,0.0342089187538179,245
23,-35.255188731664546,-8.241228094339133,0.0342089187538179,245
24,-35.255188731664546,-8.23763484963917,0.0342089187538179,245
25,-35.255188731664546,-8.234041604939206,0.0342089187538179,245
26,-35.255188731664546,-8.230448360239242,0.0342089187538179,245
27,-35.255188731664546,-8.226855115539278,0.0342089187538179,245
28,-35.255188731664546,-8.223261870839314,0.0342089187538179,245
29,-35.255188731664546,-8.21966862613935,0.0342089187538179,245
30,-35.255188731664546,-8.216075381439387,0.0342089187538179,245
31,-35.255188731664546,-8.212482136739423,0.0342089187538179,245
32,-35.255188731664546,-8.20888889203946,0.0342089187538179,245
33,-35.25159548696458,-8.269974051938844,0.0342089187538179,245
34,-35.25159548696458,-8.26638080723888,0.0342089187538179,245
35,-35.25159548696458,-8.262787562538916,0.0342089187538179,245
36,-35.25159548696458,-8.259194317838952,0.0342089187538179,245
37,-35.25159548696458,-8.255601073138989,0.0342089187538179,245
38,-35.25159548696458,-8.252007828439025,0.0342089187538179,245
39,-35.25159548696458,-8.248414583739061,0.0342089187538179,245
40,-35.25159548696458,-8.244821339039097,0.0342089187538179,245
41,-35.25159548696458,-8.241228094339133,0.0342089187538179,245
42,-35.25159548696458,-8.23763484963917,0.0342089187538179,245
43,-35.25159548696458,-8.234041604939206,0.0342089187538179,245
44,-35.25159548696458,-8.230448360239242,0.0342089187538179,245
45,-35.25159548696458,-8.226855115539278,0.0342089187538179,245
46,-35.25159548696458,-8.223261870839314,0.0342089187538179,245
47,-35.25159548696458,-8.21966862613935,0.0342089187538179,245
48,-35.25159548696458,-8.216075381439387,0.0342089187538179,245
49,-35.25159548696458,-8.212482136739423,0.0342089187538179,245
50,-35.25159548696458,-8.20888889203946,0.0342089187538179,245
51,-35.25159548696458,-8.205295647339495,0.0342089187538179,245
52,-35.25159548696458,-8.201702402639532,0.0342089187538179,245
53,-35.24800224226462,-8.277160541338771,0.0342089187538179,245
54,-35.24800224226462,-8.273567296638808,0.0342089187538179,245
55,-35.24800224226462,-8.269974051938844,0.0342089187538179,245
56,-35.24800224226462,-8.26638080723888,0.0342089187538179,245
57,-35.24800224226462,-8.262787562538916,0.0342089187538179,245
58,-35.24800224226462,-8.259194317838952,0.0342089187538179,245
59,-35.24800224226462,-8.255601073138989,0.0342089187538179,245
60,-35.24800224226462,-8.252007828439025,0.0342089187538179,245
61,-35.24800224226462,-8.248414583739061,0.0342089187538179,245
62,-35.24800224226462,-8.244821339039097,0.0342089187538179,245
63,-35.24800224226462,-8.241228094339133,0.0342089187538179,245
64,-35.24800224226462,-8.23763484963917,0.0342089187538179,245
65,-35.24800224226462,-8.234041604939206,0.0342089187538179,245
66,-35.24800224226462,-8.230448360239242,0.0342089187538179,245
67,-35.24800224226462,-8.226855115539278,0.0342089187538179,245
68,-35.24800224226462,-8.223261870839314,0.0342089187538179,245
69,-35.24800224226462,-8.21966862613935,0.0342089187538179,245
70,-35.24800224226462,-8.216075381439387,0.0342089187538179,245
71,-35.24800224226462,-8.212482136739423,0.0342089187538179,245
72,-35.24800224226462,-8.20888889203946,0.0342089187538179,245
73,-35.24800224226462,-8.205295647339495,0.0342089187538179,245
74,-35.24800224226462,-8.201702402639532,0.0342089187538179,245
75,-35.24800224226462,-8.198109157939568,0.0342089187538179,245
76,-35.24800224226462,-8.194515913239604,0.0342089187538179,245
77,-35.24800224226462,-8.19092266853964,0.0342089187538179,245
78,-35.24800224226462,-8.187329423839676,0.0342089187538179,245
79,-35.244408997564655,-8.273567296638808,0.0342089187538179,245
80,-35.244408997564655,-8.269974051938844,0.0342089187538179,245
81,-35.244408997564655,-8.26638080723888,0.0342089187538179,245
82,-35.244408997564655,-8.262787562538916,0.0342089187538179,245
83,-35.244408997564655,-8.259194317838952,0.0342089187538179,245
84,-35.244408997564655,-8.255601073138989,0.0342089187538179,245
85,-35.244408997564655,-8.252007828439025,0.0342089187538179,245
86,-35.244408997564655,-8.248414583739061,0.0342089187538179,245
87,-35.244408997564655,-8.244821339039097,0.0342089187538179,245
88,-35.244408997564655,-8.241228094339133,0.0342089187538179,245
